mention_id;mention_text;doc_id;sentence_id;begin_index;end_index
M1      ;rand investment mobile advertise be grow quickly — spend be project reach bn accord yet only % ad receive type engagement;A1  ;O1      ;1;20
M2      ;be usually online audience segment consumer have have not see market campaign creative ask respond brand perception questionnaire;A1  ;O10     ;1;17
M3      ;approach only tap person s conscious brain — major shortcoming;A1  ;O11     ;1;9
M4      ;Subconscious brain activity According research only % brain ’ s activity be expend conscious activity;A1  ;O12     ;0;14
M5      ;remain brain activity be devote largely unconscious process;A1  ;O13     ;1;7
M6      ;Developing more comprehensive measurement system mobile impression require tap deeper subconscious activity;A1  ;O14     ;0;11
M7      ;Wearable device track neurological activity be readily available consumer;A1  ;O15     ;0;8
M8      ;eye-tracking number software hardware company be develop advance eye-tracking emotion-sensing tool;A1  ;O16     ;1;10
M9      ;Extending technology work front-facing camera smartphones only make sense;A1  ;O17     ;0;8
M10     ;predict s feature eye-tracking software page down be deploy advertise measurement not-too-distant future;A1  ;O18     ;1;12
M11     ;assuage understandable consumer privacy concern company develop technology require opt-in type measurement;A1  ;O19     ;1;11
M12     ;tool resource do advertiser agency have report analyse % unclicked impression;A1  ;O2      ;1;10
M13     ;cancel event ” opt-in neurological measurement eye-tracking measure signal action interest consider other engagement click;A1  ;O20     ;2;14
M14     ;Analytics company be measure mouseover time desktop platform;A1  ;O21     ;0;7
M15     ;equivalent hover time mobile be place finger screen pull actually tap;A1  ;O22     ;1;10
M16     ;action know “ cancel event ” iOS be not be track advertiser still signal intent ad interaction;A1  ;O23     ;1;16
M17     ;Improving ecosystem continue demand new measurement standard technology better understand role impression play digital ad spend;A1  ;O24     ;0;15
M18     ;publisher benefit be able c premium ad be simply see not click ” have clear prove benefit advertiser;A1  ;O25     ;1;17
M19     ;ultimately consumer always benefit more relevant interruptive more engage advertise creative design enhance experience;A1  ;O26     ;1;13
M20     ;–;A1  ;O27     ;0;0
M21     ;"";A1  ;O28     ;0;0
M22     ;ad impression have value be only flaw debatable tool measurement;A1  ;O3      ;1;9
M23     ;Impressions shouldn ’ t be waste ad not be universally discount waste impression;A1  ;O4      ;0;12
M24     ;recent mobile advertise neuroscience study show impression influence brand perception;A1  ;O5      ;1;9
M25     ;Analytics platform have focus heavily viewability make certain ad be viewable;A1  ;O6      ;0;10
M26     ;Contrary standard viewability be minimum % pixel view minimum second agency announce earlier year only count video impression % ad player be view;A1  ;O7      ;0;22
M27     ;Additional measurement technique be need help industry gauge value viewable impression especially mobile device full-screen viewable impression mean captivate audience;A1  ;O8      ;0;19
M28     ;measurement be flaw dawn commercial internet value display ad impression ha largely be measure survey;A1  ;O9      ;1;14
M29     ;Shares First American FAF have earn average broker rat score broker provide coverage stock report;A10 ;O1      ;0;14
M30     ;First American FAF last issue quarterly earn result;A10 ;O10     ;0;7
M31     ;company report quarter top consensus estimate;A10 ;O11     ;1;5
M32     ;same quarter last year firm post earn share;A10 ;O12     ;2;7
M33     ;business earn quarter compare consensus estimate;A10 ;O13     ;1;5
M34     ;First American s revenue wa up % compare same quarter last year;A10 ;O14     ;0;11
M35     ;Equities analyst anticipate First American post earn share current year;A10 ;O15     ;0;9
M36     ;business also recently disclose quarterly dividend wa pay;A10 ;O16     ;1;7
M37     ;Shareholders record be issue dividend share;A10 ;O17     ;0;5
M38     ;ex-dividend date dividend wa;A10 ;O18     ;1;3
M39     ;represent annualized dividend yield %;A10 ;O19     ;1;4
M40     ;research analyst have rat stock hold recommendation have give strong buy recommendation company;A10 ;O2      ;1;12
M41     ;other First American news sell share company ’ s stock transaction occur;A10 ;O20     ;1;11
M42     ;stock wa sell average price total transaction;A10 ;O21     ;1;6
M43     ;sale wa disclose legal file be accessible hyperlink;A10 ;O22     ;1;7
M44     ;Separately downgrade “ buy rat “ neutral ” rat report;A10 ;O23     ;0;9
M45     ;First American FAF be hold company;A10 ;O24     ;0;5
M46     ;subsidiary be engage business provide financial service;A10 ;O25     ;2;6
M47     ;operate segment Title Insurance segment segment;A10 ;O26     ;2;5
M394    ;First real man doesn t play crazy game;A115;O13     ;0;7
M48     ;segment issue title insurance policy residential commercial property;A10 ;O27     ;5;7
M49     ;segment also provide close escrow service accommodate tax-deferred exchange real estate provide bank trust investment advisory service;A10 ;O28     ;1;16
M50     ;s specialty insurance segment issue property casualty insurance policy sell home warranty product;A10 ;O29     ;3;12
M51     ;First American s rat score ha decline % month result various analyst ’ rating change;A10 ;O3      ;0;14
M52     ;property casualty insurance business provide insurance coverage residential homeowner renter liability loss typical hazard fire theft vandalism other type property damage;A10 ;O30     ;1;20
M53     ;s subsidiary be First American;A10 ;O31     ;3;4
M54     ;get free copy research report First American click here;A10 ;O32     ;1;8
M55     ;more information research offering visit;A10 ;O33     ;1;4
M56     ;Brokerages have set month consensus price target company be forecast company post current quarter accord;A10 ;O4      ;0;14
M916    ;family victim 're always thought;A13 ;O41     ;4;4
M57     ;Zacks ha also give First industry rank base rating give competitor;A10 ;O5      ;0;10
M58     ;First American FAF open;A10 ;O6      ;0;3
M59     ;stock ha market cap price-to-earnings ratio;A10 ;O7      ;1;5
M60     ;company ha 50-day move average day move average;A10 ;O8      ;1;7
M61     ;First American ha 12-month low 12-month high;A10 ;O9      ;0;6
M62     ;say bouncer cause captain concussion leave several player shake have bring memory fatal injury;A100;O1      ;2;13
M63     ;Obviously wa tough summer u back home lose close mate;A100;O10     ;0;9
M64     ;'s always nasty get blow;A100;O11     ;1;4
M65     ;add be ha be hit time helmet Australian bouncer belief have analyse technique short ball;A100;O12     ;1;14
M66     ;probably have look see 's anything technically different do say;A100;O13     ;3;9
M67     ;have n't have chat yet 'm sure 's something look go forward;A100;O14     ;2;11
M68     ;wa daze unable play further part match be strike helmet short ball seventh fifth;A100;O2      ;1;13
M69     ;go win match wicket series;A100;O3      ;1;4
M70     ;skipper wa up end match accord coach wa deem unable take part post-match ceremony;A100;O4      ;2;13
M71     ;ha get bite lump headache be anxious moment anyone get hit fact walk field wa good sign;A100;O5      ;2;16
M72     ;wa bite dizzy while take hour so come good;A100;O6      ;1;8
M73     ;monitor medical staff leave middle play match last year claim wa clearly shake;A100;O7      ;2;12
M74     ;saw fit immediately walk boundary talk admit few number be affect;A100;O8      ;2;10
M75     ;think there be couple guy be bite shake up particular;A100;O9      ;2;9
M76     ;financial crisis loom campaign appearance presidential contender sharply different position key issue for… Continue »;A101;O1      ;3;14
M77     ;click enlargesnowflock/ThinkstockGood report let reader draw own conclusion 's good thing.After read s cover story rape send note say much admire;A102;O1      ;0;20
M78     ;empathize character ’ trauma struggle allow be complicate inconsistent;A102;O10     ;1;8
M79     ;e-mail sound people argue mutual friend feel ’ ve come understand better friend understand;A102;O11     ;2;13
M80     ;journalist ’ t afford be unreliable narrator s report be meticulous;A102;O12     ;1;10
M81     ;’ s reticent;A102;O13     ;2;2
M82     ;give space;A102;O14     ;1;1
M83     ;’ literary device reader write story read;A102;O15     ;1;6
M84     ;saw device work second time week essay;A102;O16     ;1;6
M85     ;run previously;A102;O17     ;2;1
M86     ;give daughter adoption;A102;O18     ;2;2
M87     ;Then try be mom be title op-ed creative write teacher become pregnant give baby couple couldn t conceive;A102;O19     ;0;17
M88     ;follow wa exchange e-mail expose difference perspective root age sex;A102;O2      ;1;9
M89     ;’ re tell stay touch daughter s new parent read letter study picture;A102;O20     ;2;12
M90     ;daughter ten welcome visit;A102;O21     ;3;3
M91     ;visit multiply marry wa junior bridesmaid;A102;O22     ;1;5
M92     ;give birth second daughter s disposition change become sullen angry;A102;O23     ;3;9
M93     ;announce hat family tell u almost passing— mother move say felt even more alone;A102;O24     ;1;13
M94     ;actually move turn;A102;O25     ;1;2
M95     ;enroll local college table warm;A102;O26     ;1;4
M96     ;finally feel peace;A102;O27     ;1;2
M97     ;doesn t last;A102;O28     ;2;2
M98     ;drop school head north find adoptive father;A102;O29     ;1;6
M99     ;wonder wa begin think actually do n't like story much;A102;O3      ;1;9
M100    ;now admit herself know never be mom not way u hop be;A102;O30     ;1;11
M101    ;chance understand now have be lose year ago;A102;O31     ;1;7
M102    ;get learn love simultaneously let go;A102;O32     ;1;5
M103    ;Maybe s motherhood be;A102;O33     ;0;3
M104    ;way respond s piece be say ’ s blind own material;A102;O34     ;1;10
M105    ;way be say know ’ s do ’ s count reader see story say ’ s tell ghastly story hint;A102;O35     ;2;19
M106    ;Motherhood;A102;O36     ;0;0
M107    ;attentive reader be apt think;A102;O37     ;1;4
M108    ;story be n't about motherhood;A102;O38     ;1;4
M109    ;real story here glimpse crack be little girl grow mother abandon;A102;O39     ;1;10
M110    ;story greatest virtue wa do n't tell have think;A102;O4      ;2;8
M111    ;probably have be better ’ d never know birth mother exist;A102;O40     ;1;10
M112    ;understand boilerplate sentiment motherhood recite wrap piece be vapid off-point;A102;O41     ;2;9
M113    ;Maybe not want think doe;A102;O42     ;0;4
M114    ;final ironic flourish piece ingenious creative write ’ re hard top;A102;O43     ;2;10
M115    ;want think know stuff trust reader find 's there;A102;O44     ;1;8
M116    ;writer put head snort charge reader;A102;O5      ;1;5
M117    ;ambiguity get way trample;A102;O6      ;1;3
M118    ;rape invite didacticism didn t do;A102;O7      ;1;5
M119    ;Other writer love ambiguity so much refuse sully come point;A102;O8      ;0;9
M120    ;didn t do;A102;O9      ;1;2
M166    ;head police organise crime team warn drugs-mail tactic appear be become common;A106;O8      ;6;11
M167    ;increase restriction psychoactive substance ha be increase unlawful importation harmful substance say;A106;O9      ;3;11
M168    ;Business Also chart show exactly insane growth ha be past year 'Missed be just absurd think be 's go 60-year-old dad couple get unpleasant surprise way Man year;A107;O1      ;0;27
M169    ;have zero tolerance sort fraudulent activity tell statement;A107;O10     ;2;7
M276    ;also admit wa “ better ” series do not make air;A110;O39     ;1;10
M121    ;mobile application management firm announce round today lead Malaysia-based also participate investment bring total raise date just dollar be first time Apperian ha seek fund modest round back be term provision software develop in-house call private app store actually start enterprise mobile application developer back give context market back then probably weren ’ t ton enterprise customer look custom mobile application most experimental bunch endure develop enterprise app store company customer begin ask alternative launch custom apps public app store Apperian tend compete vendor wa sell company differentiate vendor allow customer deploy system explain company belief give leg customer want deploy custom apps partner consultant other non-employees likely be reluctant let company have access phone lead Asian investment company seem ordinary say company go route couple reason want favorable term valuation wouldn ’ t require board-level involvement company wouldn t disclose valuation do indicate wa up round previous investment announcement give company in-road ha very little presence right now development office be ha help build presence so far Apperian ha have only small deal ’ s be hop connect Asian firm help gain entrée market last fund round market seem have catch Apperian Today ’ s see much larger deal average deal size have double last round high end many user say include comma Walgreens company ha employee expect add 12-14 end year use fund;A103;O1      ;2;224
M122    ;Created WINSTON-SALEM — 30-year-old limousine belong late be be raffle raise money child therapeutic care;A104;O1      ;0;14
M123    ;report http //bit.ly/1Kn884r executor estate donate custom limo couple month ago;A104;O2      ;3;10
M124    ;say child service agency want convert gray car hope child;A104;O3      ;3;9
M125    ;be sell ticket;A104;O4      ;1;2
M126    ;call hope;A104;O5      ;1;1
M127    ;vehicle come chauffeur cap park pas use teach class campus;A104;O6      ;1;9
